provincia;anio;mes_numero;mes;precipitacion_total_mm;precipitacion_promedio_mm;precipitacion_maxima_mm;dias_con_lluvia
Puntarenas;2021;3;Marzo;72.9;2.35;19.2;23
Puntarenas;2021;4;Abril;220.7;7.36;41.1;27
Puntarenas;2021;5;Mayo;245.9;7.93;58.5;31
Puntarenas;2021;6;Junio;640.3;21.34;132.7;30
Puntarenas;2021;7;Julio;421.7;13.6;95.2;31
Puntarenas;2021;8;Agosto;516.5;16.66;111.3;31
Puntarenas;2021;9;Setiembre;445.7;14.86;70.5;30
Puntarenas;2021;10;Octubre;387.9;12.51;47.6;31
Puntarenas;2021;11;Noviembre;217.9;7.26;43.3;30
Puntarenas;2021;12;Diciembre;84.9;2.74;14.6;28
Puntarenas;2022;1;Enero;18.9;0.61;3.8;20
Puntarenas;2022;2;Febrero;27.0;0.96;13.6;17
Puntarenas;2022;3;Marzo;38.9;1.25;7.3;29
Puntarenas;2022;4;Abril;178.2;5.94;22.3;30
Puntarenas;2022;5;Mayo;431.8;13.93;45.5;31
Puntarenas;2022;6;Junio;690.5;23.02;106.6;30
Puntarenas;2022;7;Julio;417.4;13.46;88.5;31
Puntarenas;2022;8;Agosto;329.1;10.62;29.3;30
Puntarenas;2022;9;Setiembre;482.4;16.08;43.7;30
Puntarenas;2022;10;Octubre;418.0;13.48;56.8;31
Puntarenas;2022;11;Noviembre;396.3;13.21;71.2;30
Puntarenas;2022;12;Diciembre;54.9;1.77;8.6;29
Puntarenas;2023;1;Enero;56.8;1.83;26.5;23
Puntarenas;2023;2;Febrero;6.2;0.22;2.9;8
Puntarenas;2023;3;Marzo;53.1;1.71;10.5;22
Puntarenas;2023;4;Abril;24.9;0.83;4.9;20
Puntarenas;2023;5;Mayo;186.8;6.03;40.0;28
Puntarenas;2023;6;Junio;317.1;10.57;59.8;30
Puntarenas;2023;7;Julio;300.5;9.69;40.3;31
Puntarenas;2023;8;Agosto;377.8;12.19;55.1;31
Puntarenas;2023;9;Setiembre;334.1;11.14;58.7;30
Puntarenas;2023;10;Octubre;724.1;23.36;79.7;31
Puntarenas;2023;11;Noviembre;339.7;11.32;41.4;29
Puntarenas;2023;12;Diciembre;67.5;2.18;15.5;21
Puntarenas;2024;1;Enero;14.8;0.48;4.5;11
Puntarenas;2024;2;Febrero;10.8;0.37;5.1;8
Puntarenas;2024;3;Marzo;30.3;0.98;5.6;21
Puntarenas;2024;4;Abril;117.8;3.93;27.8;22
Puntarenas;2024;5;Mayo;307.2;9.91;45.9;31
Puntarenas;2024;6;Junio;642.5;21.42;125.9;30
Puntarenas;2024;7;Julio;391.4;12.63;53.5;31
Puntarenas;2024;8;Agosto;277.0;8.94;33.8;31
Puntarenas;2024;9;Setiembre;537.0;17.9;77.1;30
Puntarenas;2024;10;Octubre;529.4;17.08;69.1;31
Puntarenas;2024;11;Noviembre;793.3;26.44;80.1;29
Puntarenas;2024;12;Diciembre;212.3;6.85;41.1;30
San José;2018;1;Enero;121.7;3.93;20.2;19
San José;2018;2;Febrero;4.6;0.16;1.7;4
San José;2018;3;Marzo;8.7;0.28;2.1;12
San José;2018;4;Abril;70.6;2.35;15.6;25
San José;2018;5;Mayo;221.6;7.15;21.7;30
San José;2018;6;Junio;317.8;10.59;75.2;30
San José;2018;7;Julio;200.8;6.48;40.8;27
San José;2018;8;Agosto;207.0;6.68;33.7;30
San José;2018;9;Setiembre;379.7;12.66;43.0;30
San José;2018;10;Octubre;445.6;14.37;40.2;29
San José;2018;11;Noviembre;315.5;10.52;47.9;29
San José;2018;12;Diciembre;12.6;0.41;4.7;11
San José;2019;1;Enero;2.4;0.08;0.7;5
San José;2019;2;Febrero;5.3;0.19;1.6;8
San José;2019;3;Marzo;13.1;0.42;2.8;12
San José;2019;4;Abril;48.9;1.63;7.1;22
San José;2019;5;Mayo;529.3;17.07;83.9;31
San José;2019;6;Junio;242.9;8.1;53.3;29
San José;2019;7;Julio;146.6;4.73;26.2;25
San José;2019;8;Agosto;196.4;6.34;30.2;29
San José;2019;9;Setiembre;389.0;12.97;61.2;29
San José;2019;10;Octubre;607.4;19.59;49.4;31
San José;2019;11;Noviembre;174.1;5.8;48.0;29
San José;2019;12;Diciembre;92.5;2.98;18.2;28
San José;2020;1;Enero;42.6;1.37;7.7;20
San José;2020;2;Febrero;6.6;0.23;2.1;7
San José;2020;3;Marzo;7.8;0.25;2.5;8
San José;2020;4;Abril;92.0;3.07;26.1;26
San José;2020;5;Mayo;329.9;10.64;42.0;30
San José;2020;6;Junio;380.5;12.68;40.0;30
San José;2020;7;Julio;279.7;9.02;38.1;27
San José;2020;8;Agosto;645.5;20.82;87.8;30
San José;2020;9;Setiembre;575.0;19.17;50.0;30
San José;2020;10;Octubre;590.2;19.04;69.5;31
San José;2020;11;Noviembre;521.8;17.39;97.9;30
San José;2020;12;Diciembre;156.7;5.05;76.7;21
San José;2021;1;Enero;51.4;1.66;43.4;10
San José;2021;2;Febrero;13.6;0.49;2.4;13
San José;2021;3;Marzo;26.5;0.85;7.1;16
San José;2021;4;Abril;191.8;6.39;40.5;27
San José;2021;5;Mayo;313.4;10.11;52.5;29
San José;2021;6;Junio;354.9;11.83;56.9;30
San José;2021;7;Julio;450.8;14.54;101.5;26
San José;2021;8;Agosto;632.8;20.41;87.1;29
San José;2021;9;Setiembre;433.9;14.46;61.4;30
San José;2021;10;Octubre;532.4;17.17;70.6;31
San José;2021;11;Noviembre;216.5;7.22;53.0;30
San José;2021;12;Diciembre;37.8;1.22;4.3;22
San José;2022;1;Enero;10.1;0.33;2.4;11
San José;2022;2;Febrero;10.9;0.39;3.4;11
San José;2022;3;Marzo;30.8;0.99;4.6;23
San José;2022;4;Abril;276.4;9.21;34.9;28
San José;2022;5;Mayo;487.9;15.74;41.5;31
San José;2022;6;Junio;602.8;20.09;49.7;30
San José;2022;7;Julio;344.6;11.12;67.6;28
San José;2022;8;Agosto;488.3;15.75;42.8;30
San José;2022;9;Setiembre;556.4;18.55;69.5;30
San José;2022;10;Octubre;523.0;16.87;59.8;31
San José;2022;11;Noviembre;341.3;11.38;40.7;30
San José;2022;12;Diciembre;14.2;0.46;2.3;24
San José;2023;1;Enero;31.1;1.0;10.3;18
San José;2023;2;Febrero;2.5;0.09;1.9;3
San José;2023;3;Marzo;137.7;4.44;34.1;23
San José;2023;4;Abril;35.2;1.17;12.4;19
San José;2023;5;Mayo;242.1;7.81;50.2;27
San José;2023;6;Junio;294.6;9.82;27.1;30
San José;2023;7;Julio;290.3;9.36;36.0;29
San José;2023;8;Agosto;478.2;15.43;77.7;29
San José;2023;9;Setiembre;374.3;12.48;45.4;30
San José;2023;10;Octubre;673.0;21.71;74.1;31
San José;2023;11;Noviembre;323.0;10.77;40.9;30
San José;2023;12;Diciembre;51.2;1.65;13.8;18
San José;2024;1;Enero;11.3;0.36;3.2;10
San José;2024;2;Febrero;31.7;1.09;13.9;10
San José;2024;3;Marzo;22.2;0.72;3.6;17
San José;2024;4;Abril;153.6;5.12;36.2;20
San José;2024;5;Mayo;299.8;9.67;41.8;31
San José;2024;6;Junio;547.5;18.25;52.0;30
San José;2024;7;Julio;423.8;13.67;59.0;30
San José;2024;8;Agosto;391.2;12.62;36.8;30
San José;2024;9;Setiembre;453.7;15.12;41.9;30
San José;2024;10;Octubre;479.4;15.46;69.5;31
San José;2024;11;Noviembre;676.1;22.54;81.7;30
San José;2024;12;Diciembre;233.5;7.53;56.4;27
